id,username,password,role,riwayat_penyakit,suhu_tubuh,tekanan_darah_sistolik,tekanan_darah_diastolik,detak_jantung,saturasi_oksigen,kadar_gula_darah,berat_badan,tinggi_badan,kadar_kolesterol,kadar_kolesterol_ldl,trombosit
1,userA,pass11,pasien,,36.8,110,70,95,97.0,98,52.3,158,165,85,240
2,userB,pass22,pasien,,37.8,120,70,110,90.0,150.0,60.0,160,210,120,407
3,userC,pass33,pasien,,37.1,130,85,84,95.5,225,82.0,170,250,135,325
4,userD,pass44,pasien,,36.9,118,76,88,96.2,105.5,58.0,162,170,95,275
5,userE,pass55,pasien,,37.3,135,90,90,94.1,210,91.0,175,245,140,212
6,userF,pass66,pasien,,36.2,150,100,87,96.8,115,74.2,168,227,155,369
7,userG,pass77,pasien,,37.1,125,85,88,95.5,200,90.3,180,190,105,196
8,userH,pass88,pasien,,36.5,108,68,92,98.6,95,49.3,155,160,75,234
9,userI,pass99,manager,,,,,,,,,,,,
10,userJ,pass110,dokter,,,,,,,,,,,,
11,userK,pass111,dokter,,,,,,,,,,,,
12,userL,pas222,dokter,,,,,,,,,,,,
13,userM,pass333,dokter,,,,,,,,,,,,
14,userN,pass444,dokter,,,,,,,,,,,,
15,userO,pass555,dokter,,,,,,,,,,,,
16,userP,pass666,pasien,,42.3,127,90,89,96.3,95,57.4,151,161,80,177
17,userQ,pass777,pasien,,,,,,,,,,,,
18,userR,pass888,pasien,,,,,,,,,,,,
19,userS,pass999,dokter,,,,,,,,,,,,
20,userT,pass1110,pasien,,41.1,117,70,94,98.3,94,54.6,147,163,90,378
